ods,providerId,name,wIMD15,place_name,postcode,country,search_name
RXF05,RXF,Pinderfields Hospital,25.9155988,Pinderfields Hospital,WF1 4DG,England,"Pinderfields Hospital, WF1 4DG"
RD300,RD3,Poole Hospital,16.56564718,Poole General Hospital,BH15 2JB,NA,NA
RXH09,RXH,Princess Royal Hospital,17.44499941,Princess Royal Hospital,RH16 4EX,England,"Princess Royal Hospital, RH16 4EX"
RHU03,RHU,Queen Alexandra Hospital,16.88083179,Queen Alexandra Hospital,PO6 3LY,England,"Queen Alexandra Hospital, PO6 3LY"
RJ231,RJ2,Queen Elizabeth Hospital,23.29614917,Queen Elizabeth Hospital,SE18 4QH,England,"Queen Elizabeth Hospital, SE18 4QH"
RR7EN,RR7,Queen Elizabeth Hospital,24.97474457,Queen Elizabeth Hospital,NE9 6SX,England,"Queen Elizabeth Hospital, NE9 6SX"
RRK15,RRK,Queen Elizabeth Hospital Birmingham,22.36155783,Queen Elizabeth Hospital Birmingham,B15 2WB,NA,NA
RVV09,RVV,Queen Elizabeth The Queen Mother Hospital,20.0538634,Queen Elizabeth The Queen Mother Hospital,CT9 4AN,England,"Queen Elizabeth The Queen Mother Hospital, CT9 4AN"
RF4QH,RF4,Queen's Hospital,22.57417358,Queen's Hospital,RM7 0AG,England,"Queen's Hospital, RM7 0AG"
RTG02,RJF,"Queen's Hospital, Burton Upon Trent",20.91356598,Burton Hospital,DE13 0RB,England,"Burton Hospital, DE13 0RB"
RX1RA,RX1,Queen's Medical Centre,21.62513959,Nottingham University Hospitals Nhs Trust - Queen's Medical Centre Campus,NG7 2UH,England,"Nottingham University Hospitals Nhs Trust - Queen's Medical Centre Campus, NG7 2UH"
RNNRH,RNN,Reiver House,22.94454837,Reiver House,CA2 7HY,NA,NA
RFRPA,RFR,Rotherham General Hospital,27.12458186,Rotherham Hospital,S60 2UD,England,"Rotherham Hospital, S60 2UD"
RRF02,RRF,Royal Albert Edward Infirmary,23.63575769,Royal Albert Edward Infirmary,WN1 2NN,England,"Royal Albert Edward Infirmary, WN1 2NN"
RHW01,RHW,Royal Berkshire Hospital,14.82074302,Royal Berkshire Hospital,RG1 5AN,England,"Royal Berkshire Hospital, RG1 5AN"
RXR20,RXR,Royal Blackburn Hospital,24.91820742,Royal Blackburn Hospital,BB2 3HH,England,"Royal Blackburn Hospital, BB2 3HH"
RMC01,RMC,Royal Bolton Hospital,27.12184553,Royal Bolton Hospital,BL4 0JR,England,"Royal Bolton Hospital, BL4 0JR"
RDZ20,RDZ,Royal Bournemouth Hospital,16.95200192,Royal Bournemouth Hospital,BH7 7DW,England,"Royal Bournemouth Hospital, BH7 7DW"
REF12,REF,Royal Cornwall Hospital,18.2405421,Royal Cornwall Hospital (Treliske),TR1 3LQ,England,"Royal Cornwall Hospital (Treliske), TR1 3LQ"
RH801,RH8,Royal Devon & Exeter Hospital (Wonford),18.29886947,Royal Devon And Exeter Hospital (Wonford),EX2 5DW,England,"Royal Devon And Exeter Hospital (Wonford), EX2 5DW"
RHQHH,RHQ,Royal Hallamshire Hospital,23.78973169,Royal Hallamshire Hospital,S10 2JF,England,"Royal Hallamshire Hospital, S10 2JF"
RN541,RN5,Royal Hampshire County Hospital,15.10991099,Royal Hampshire County Hospital,SO22 5DG,England,"Royal Hampshire County Hospital, SO22 5DG"
RTX02,RTX,Royal Lancaster Infirmary,21.30684468,Royal Lancaster Infirmary,LA1 4RP,England,"Royal Lancaster Infirmary, LA1 4RP"
REMRQ,REM,Royal Liverpool University Hospital,26.47323304,Royal Liverpool University Hospital,L7 8XP,England,"Royal Liverpool University Hospital, L7 8XP"
RXN02,RXN,Royal Preston Hospital,24.60487045,Royal Preston Hospital,PR2 9HT,England,"Royal Preston Hospital, PR2 9HT"
RXWAS,RXW,Royal Shrewsbury Hospital,20.40802757,Royal Shrewsbury Hospital,SY3 8XQ,England,"Royal Shrewsbury Hospital, SY3 8XQ"
RA201,RA2,Royal Surrey County Hospital,9.518797559,Royal Surrey County Hospital,GU2 7XX,NA,NA
