redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,tds_mean,postcode_start,city,imd_average_postcodes_new
Wirral University Teaching Hospital NHFT,wirral_university,RLB14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.370429,E38000208,-0.03450409333656787,CH49,Wirral,12809.24603250478
George Eliot Hospital,george_eliot_hospi,RLR01,George Eliot Hospital,CV10 7DJ,England,-1.4760659,52.5118749,E38000195,-0.6463985156566265,CV10,Nuneaton & Bedworth,14012.218639262934
Whiston Hospital,whiston_hospital,RMN01,Whiston Hospital,L35 5DR,England,-2.7853229,53.4212302,E38000091,1.4070944920314978,L35,Knowsley,5921.0394257553035
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",chelsea__westminst,RMQ01,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202,3.6833235765625165,SW10,Kensington and Chelsea,16902.72077979619
"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",chelsea__westminst,RMQ91,"Chelsea and Westminster Hospital NHS, 369 Fulham Rd, London",SW10 9NH,England,-0.182401,51.4849533,E38000202,3.6833235765625165,SW10,Kensington and Chelsea,16902.72077979619
Dartford and Gravesham NHS Trust,dartford_and_grave,RN070,Dartford and Gravesham NHS Trust,DA2 8DA,England,0.2589221,51.4353686,E38000043,-0.07062724620509174,DA2,Dartford,16861.133497027655
North West Anglia NHSFT,north_west_anglia,RNG90,Peterborough City Hospital,PE3 9GZ,England,-0.2785687,52.5837926,E38000026,-0.732581452258259,PE3,Peterborough,20399.11658448095
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNN62,North Cumbria Integrated Care NHSFT,CA11 7QE,England,-2.753599,54.667373,E38000215,-1.3126112651783879,CA11,Eden,15108.37959132506
West Cumberland Hospital,west_cumberland_ho,RNNBX,West Cumberland Hospital,CA28 8JG,England,-3.5631756,54.5302041,E38000215,-1.3126112651783879,CA28,Copeland,15108.37959132506
Royal Preston Hospital,royal_preston_hosp,RNX02,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,0.164363765873978,PR2,Preston,13689.163659961065
Homerton University Hospital,homerton_universit,RQZM1,Homerton University Hospital,E9 6SR,England,-0.0461232,51.5504182,E38000035,4.703750131040954,E9,Hackney,14048.93409174312
University Hospitals Birmingham,university_hospitag,RRK02,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,1.6044457153363676,B15,Birmingham,11080.681511230106
University Hospitals Birmingham,university_hospitag,RRK03,University Hospitals Birmingham,B15 2TH,England,-1.9429313,52.4512054,E38000220,1.6044457153363676,B15,Birmingham,11080.681511230106
Wirral University Teaching Hospital NHFT,wirral_university,RRL14,Wirral University Teaching Hospital NHFT,CH49 5PE,England,-3.094562,53.370429,E38000208,-0.03450409333656787,CH49,Wirral,12809.24603250478
North West Boroughs Healthcare NHSFT,north_west_borough,RTV33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,-0.018768137689710203,WA2,Warrington,16683.142804518666
East Kent Hospitals NHSFT,east_kent_hospital,RV001,William Harvey Hospital (Ashford),TN24 0LZ,England,0.916223049163818,51.141487121582,E38000002,-0.39039041968852745,TN24,Ashford,15518.462574326688
North West Boroughs Healthcare NHSFT,north_west_borough,RVT33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,-0.018768137689710203,WA2,Warrington,16683.142804518666
East Kent Hospitals NHSFT,east_kent_hospital,RVV00,Queen Elizabeth The Queen Mother Hospital,CT9 4AN,England,1.38939869403839,51.3780517578125,E38000184,0.8362759957351174,CT9,Kent,10709.07911576498
Lancashire & South Cumbria NHS Foundation Trust,lancashire__south,RW5JJ,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,0.164363765873978,PR2,Preston,13689.163659961065
The Princess Alexandra Hospital,NA,RWQG0,The Princess Alexandra Hospital,CM20 1QX,England,0.0858092,51.7710499,E38000197,-0.6309830884721978,CM20,Harlow,19791.474051191526
Leicester Royal Infirmary,university_hospitak,RWWAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1354407,52.6257466,E38000097,3.754855743517658,LE1,Leicester,9319.274472372468
Cheshire and Wirral Partnership NHSFT,cheshire_and_wirra,RXADT,Cheshire and Wirral Partnership NHSFT,CH2 1BQ,England,-2.8998958,53.2120533,E38000196,-1.283603738783282,CH2,Cheshire West and Chester,17594.426404361224
