redcap_data_access_group_e,dag_id_e,place_name,postcode,country,lon,lat,ccg,all_people,white,white_scottish,white_other_british,white_irish,white_gypsy_traveller,white_polish,white_other_white,mixed_or_multiple_ethnic_groups,asian_asian_british,asian_asian_british_pakistani,asian_asian_british_indian,asian_asian_british_bangladeshi,asian_asian_british_chinese,asian_asian_british_other_asian,african,african_african_african_scottish_or_african_british,african_other_african,caribbean_or_black,caribbean_or_black_caribbean_caribbean_scottish_or_caribbean_british,caribbean_or_black_black_black_scottish_or_black_british,caribbean_or_black_other_caribbean_or_black,other_ethnic_groups,other_ethnic_group_arab,other_ethnic_group_any_other_ethnic_group,white_english_welsh_scottish_northern_irish_british,african_caribbean,white_perc,white_scottish_perc,white_other_british_perc,white_irish_perc,white_gypsy_traveller_perc,white_polish_perc,white_other_white_perc,mixed_or_multiple_ethnic_groups_perc,asian_asian_british_perc,asian_asian_british_pakistani_perc,asian_asian_british_indian_perc,asian_asian_british_bangladeshi_perc,asian_asian_british_chinese_perc,asian_asian_british_other_asian_perc,african_perc,african_african_african_scottish_or_african_british_perc,african_other_african_perc,caribbean_or_black_perc,caribbean_or_black_caribbean_caribbean_scottish_or_caribbean_british_perc,caribbean_or_black_black_black_scottish_or_black_british_perc,caribbean_or_black_other_caribbean_or_black_perc,other_ethnic_groups_perc,other_ethnic_group_arab_perc,other_ethnic_group_any_other_ethnic_group_perc,white_english_welsh_scottish_northern_irish_british_perc,african_caribbean_perc,HBName,Country,mixed_multiple_ethnic_groups_white_and_black_caribbean,mixed_multiple_ethnic_groups_white_and_black_african,mixed_multiple_ethnic_groups_white_and_asian,mixed_multiple_ethnic_groups_other_mixed,black_african_caribbean_black_british_african,black_african_caribbean_black_british_caribbean,black_african_caribbean_black_british_other_black,mixed_multiple_ethnic_groups_white_and_black_caribbean_perc,mixed_multiple_ethnic_groups_white_and_black_african_perc,mixed_multiple_ethnic_groups_white_and_asian_perc,mixed_multiple_ethnic_groups_other_mixed_perc,black_african_caribbean_black_british_african_perc,black_african_caribbean_black_british_caribbean_perc,black_african_caribbean_black_british_other_black_perc
Glan Clwyd Hospital,7A1A1,Ysbyty Glan Clwyd,LL18 5UJ,Wales,-3.4971896,53.2726551,W11000023,687937,670704,NA,NA,3604,516,NA,13009,4950,8865,779,2306,903,2529,2348,NA,NA,NA,NA,NA,NA,NA,NA,1219,702,653575,1497,97.49497410373334,NA,NA,0.5238851813465477,0.0750068683614924,NA,1.8910161831679355,0.7195426325375726,1.288635441908198,0.11323711328217553,0.3352051132589176,0.1312620196326117,0.3676208722601052,0.3413103234743879,NA,NA,NA,NA,NA,NA,NA,NA,0.17719645839662646,0.10204422788714664,95.00506587085736,0.2176071355371204,NA,NA,1543,672,1640,1095,1077,283,137,0.22429379434454025,0.097683363447525,0.23839392269931695,0.15917155204619027,0.1565550333824173,0.04113748788043091,0.01991461427427221
Wrexham Maelor Hospital,7A1A4,Wrexham Maelor Hospital,LL13 7TD,Wales,-3.0101803,53.0461734,W11000023,687937,670704,NA,NA,3604,516,NA,13009,4950,8865,779,2306,903,2529,2348,NA,NA,NA,NA,NA,NA,NA,NA,1219,702,653575,1497,97.49497410373334,NA,NA,0.5238851813465477,0.0750068683614924,NA,1.8910161831679355,0.7195426325375726,1.288635441908198,0.11323711328217553,0.3352051132589176,0.1312620196326117,0.3676208722601052,0.3413103234743879,NA,NA,NA,NA,NA,NA,NA,NA,0.17719645839662646,0.10204422788714664,95.00506587085736,0.2176071355371204,NA,NA,1543,672,1640,1095,1077,283,137,0.22429379434454025,0.097683363447525,0.23839392269931695,0.15917155204619027,0.1565550333824173,0.04113748788043091,0.01991461427427221
Betsi Cadwaladr University Health Board,7A1AU,Ysbyty Gwynedd,LL57 2PW,Wales,-4.1577568,53.2086374,W11000023,687937,670704,NA,NA,3604,516,NA,13009,4950,8865,779,2306,903,2529,2348,NA,NA,NA,NA,NA,NA,NA,NA,1219,702,653575,1497,97.49497410373334,NA,NA,0.5238851813465477,0.0750068683614924,NA,1.8910161831679355,0.7195426325375726,1.288635441908198,0.11323711328217553,0.3352051132589176,0.1312620196326117,0.3676208722601052,0.3413103234743879,NA,NA,NA,NA,NA,NA,NA,NA,0.17719645839662646,0.10204422788714664,95.00506587085736,0.2176071355371204,NA,NA,1543,672,1640,1095,1077,283,137,0.22429379434454025,0.097683363447525,0.23839392269931695,0.15917155204619027,0.1565550333824173,0.04113748788043091,0.01991461427427221
Glanwili General Hospital,7A2AA,Glangwili Hospital Child Health Section,SA31 2AF,Wales,-4.2833874,51.8673069,W11000025,382138,373887,NA,NA,2066,863,NA,7558,2502,4128,309,1271,311,825,1412,NA,NA,NA,NA,NA,NA,NA,NA,390,507,363400,724,97.84083236945816,NA,NA,0.5406423857349962,0.22583464612260493,NA,1.9778195311641342,0.6547372938571929,1.0802380291936422,0.08086084084807059,0.3326023583103486,0.0813842119862458,0.21589059449727585,0.3695000235517012,NA,NA,NA,NA,NA,NA,NA,NA,0.10205737194416675,0.1326745835274168,95.09653580643642,0.18946035201942754,NA,NA,758,271,876,597,373,245,106,0.19835766136840619,0.07091678922274153,0.22923655852074382,0.15622628474530142,0.09760871726967744,0.06411296442646373,0.02773867032328635
"Morriston Hospital, Swansea",7A3YA,Abertawe Bro Morgannwg University Lhb Bridgend Locality Office,CF31 3TP,Wales,-3.5506886,51.5024646,W11000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardiff and Vale University Health Board,7A4H1,Noahs Ark Childrens Hospital For Wales,CF14 4XW,Wales,-3.1889835,51.5062635,W11000029,472426,414952,NA,NA,3186,542,NA,14214,11726,29852,6570,8452,4959,4622,5249,NA,NA,NA,NA,NA,NA,NA,NA,4881,2325,397010,8690,87.83428515788717,NA,NA,0.6743913332458417,0.11472696252958137,NA,3.008725176006401,2.4820818498558506,6.318873220356204,1.3906939922866226,1.789063260701147,1.049688205136889,0.978354281940452,1.1110734802910933,NA,NA,NA,NA,NA,NA,NA,NA,1.0331776828540342,0.49214056804663586,84.03644168610533,1.8394415210001143,NA,NA,4270,1989,2890,2577,5378,1574,1738,0.9038452583050045,0.42101831821279945,0.6117360179160334,0.5454822554220132,1.1383793440665841,0.3331738727335075,0.3678883042000229
Cwm Taf Morgannwg University Health Board,7A5B1,The Royal Glamorgan Hospital,CF72 8XR,Wales,-3.3905151,51.5479884,W11000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cwm Taf Morgannwg University Health Board,7A5B3,Prince Charles Hospital Site,CF47 9DT,Wales,-3.3861006,51.7643331,W11000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHS Ayrshire and Arran,A111H,University Hospital Crosshouse,KA2 0BE,Scotland,-4.5401309,55.6135442,S08000015,373712,369392,342291,20711,2487,216,858,2829,854,2752,539,795,45,906,467,253,243,10,181,115,54,12,280,171,109,363002,434,98.84402962709252,91.59218863723937,5.541968146594169,0.6654857216252088,0.05779851864537398,0.22958856017467996,0.7570000428137176,0.22851821723680268,0.7363959412595796,0.1442287108789656,0.21273065890311257,0.012041358051119578,0.24243267542920752,0.1249625379971743,0.06769919082073897,0.06502333347604572,0.0026758573446932395,0.048433017938947644,0.03077235946397226,0.014449629661343494,0.003211028813631888,0.07492400565141072,0.0457571605942544,0.02916684505715631,97.13415678383353,0.11613220875968659,NHS Ayrshire and Arran,S92000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHS Ayrshire and Arran,A210H,University Hospital Ayr,KA6 6DX,Scotland,-4.5939607,55.428935,S08000015,373712,369392,342291,20711,2487,216,858,2829,854,2752,539,795,45,906,467,253,243,10,181,115,54,12,280,171,109,363002,434,98.84402962709252,91.59218863723937,5.541968146594169,0.6654857216252088,0.05779851864537398,0.22958856017467996,0.7570000428137176,0.22851821723680268,0.7363959412595796,0.1442287108789656,0.21273065890311257,0.012041358051119578,0.24243267542920752,0.1249625379971743,0.06769919082073897,0.06502333347604572,0.0026758573446932395,0.048433017938947644,0.03077235946397226,0.014449629661343494,0.003211028813631888,0.07492400565141072,0.0457571605942544,0.02916684505715631,97.13415678383353,0.11613220875968659,NHS Ayrshire and Arran,S92000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
